ticker,exchange,fiscal_month
AMG,AS,12
AMUND,AS,12
APAM,AS,12
ARCAD,AS,12
ASM,AS,12
ASML,AS,12
ASRNL,AS,12
AVTX,AS,12
AZRN,AS,12
BACE,AS,12
BAMNB,AS,12
BESI,AS,12
BEVER,AS,12
BFIT,AS,12
BNJ,AS,12
BRNL,AS,12
CABKA,AS,12
CABLE,AS,12
CCEP,AS,12
CMCOM,AS,12
CRBN,AS,12
CSG,AS,12
CTAC,AS,12
CTPNV,AS,12
CVC,AS,12
DSFIR,AS,12
EAS2P,AS,12
EBUS,AS,12
ECT,AS,12
ENVI,AS,12
ERC,AS,12
EXO,AS,12
FAST,AS,12
FERGR,AS,12
FFARM,AS,12
FLOW,AS,12
FUR,AS,12
HAL,AS,12
HAVAS,AS,12
HEIA,AS,12
HEIJM,AS,12
HEIO,AS,12
HOLCO,AS,3
HWK,AS,12
HYDRA,AS,12
IMCD,AS,12
INGA,AS,12
INPST,AS,12
KENDR,AS,12
KPN,AS,12
LIGHT,AS,12
LKFT,AS,12
LVIDE,AS,12
MICC,AS,12
MORE,AS,12
MT,AS,12
MTRK,AS,12
NAI,AS,12
NEDAP,AS,12
NEDSE,AS,12
NN,AS,12
NSE,AS,12
NXFIL,AS,12
OCI,AS,12
PBH,AS,12
PHARM,AS,12
PHIA,AS,12
PNL,AS,12
PORF,AS,12
PRX,AS,3
QEV,AS,12
RAND,AS,12
SBMO,AS,12
SIFG,AS,12
SLIGR,AS,12
SWICH,AS,12
TFG,AS,12
THEON,AS,12
TOM2,AS,12
TRIO,AS,12
TWEKA,AS,12
UMG,AS,12
VALUE,AS,12
VLK,AS,12
VPK,AS,12
VTA,AS,7
VVY,AS,12
WKL,AS,12
ACAG,AT,12
ADMIE,AT,12
AEGN,AT,12
AEM,AT,12
AIA,AT,12
AKTR,AT,12
ALMY,AT,12
ALPHA,AT,12
ALWN,AT,12
ANDRO,AT,12
ASCO,AT,12
ASTAK,AT,12
ATEK,AT,12
ATRUST,AT,12
ATTICA,AT,12
AVAX,AT,12
AVE,AT,12
BELA,AT,12
BIOKA,AT,12
BIOSK,AT,12
BLEKEDROS,AT,12
BYLOT,AT,12
CAIROMEZ,AT,12
CENTR,AT,12
CREDIA,AT,12
DAIOS,AT,12
DIMAND,AT,12
DOTSOFT,AT,12
EIS,AT,12
EKTER,AT,12
ELHA,AT,12
ELIN,AT,12
ELLAKTOR,AT,12
ELPE,AT,12
ELSTR,AT,12
ELTON,AT,12
ETE,AT,12
EUROB,AT,12
EVR,AT,12
EVROF,AT,12
EX,AT,12
EXAE,AT,12
EYAPS,AT,12
EYDAP,AT,12
FAIS,AT,12
FLEXO,AT,12
FOODL,AT,12
FOYRK,AT,12
FRIGO,AT,12
GCMEZZ,AT,12
GEBKA,AT,12
GEKTERNA,AT,12
HTO,AT,12
IKTIN,AT,12
ILYDA,AT,12
INLIF,AT,12
INTEK,AT,12
INTRK,AT,12
KARE,AT,12
KRI,AT,12
KYLO,AT,12
LAMDA,AT,12
LAMPS,AT,12
MERKO,AT,12
MEVA,AT,12
