JPM ultimi 10 nel nostro database:
  {'date': '2026-07-10', 'adj_close': 336.47}
  {'date': '2026-07-09', 'adj_close': 335.47}
  {'date': '2026-07-08', 'adj_close': 330.62}
  {'date': '2026-07-02', 'adj_close': 334.47}
  {'date': '2026-07-01', 'adj_close': 334.07}
  {'date': '2026-06-30', 'adj_close': 327.33}
  {'date': '2026-06-29', 'adj_close': 329.39}
  {'date': '2026-06-26', 'adj_close': 329.05}
  {'date': '2026-06-25', 'adj_close': 335.12}
  {'date': '2026-06-24', 'adj_close': 333.45}
