ticker,exchange,fiscal_month
2340,GCC,12
9559,GCC,12
ALIMTIAZ,GCC,12
RASIYAT,GCC,12
4170,GCC,12
8070,GCC,12
3002,GCC,12
JTC,GCC,12
ALKOUT,GCC,12
4290,GCC,12
9649,GCC,9
6002,GCC,12
SIIS,GCC,12
1214,GCC,12
9541,GCC,6
AAYANRE,GCC,12
ASC,GCC,12
BEMA,GCC,12
4338,GCC,12
UNICAP,GCC,8
4014,GCC,12
MUNSHAAT,GCC,12
UPAC,GCC,12
1182,GCC,12
4191,GCC,3
4330,GCC,12
4144,GCC,12
ARABREC,GCC,12
ALRAMZ,GCC,12
CLEANING,GCC,12
QLMI,GCC,12
AMCREIT,GCC,12
9544,GCC,12
4008,GCC,12
4348,GCC,12
BAITAKREIT,GCC,12
1324,GCC,12
2030,GCC,12
AKHI,GCC,12
MARKAZ,GCC,12
4145,GCC,12
6018,GCC,12
TIJARA,GCC,12
9521,GCC,12
AREEC,GCC,12
2287,GCC,12
3005,GCC,12
8040,GCC,12
7205,GCC,12
9583,GCC,12
ALDEERA,GCC,12
SHUAA,GCC,12
8240,GCC,12
9655,GCC,12
8012,GCC,12
9640,GCC,12
4148,GCC,12
9637,GCC,12
4194,GCC,12
ALSAFAT,GCC,12
KAMCO,GCC,12
PCEM,GCC,12
ALOLA,GCC,12
